,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 01-DEC-2008 ),Page 1 of2

,REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
28,RAIL,SIKKA REP.,240.0,30,3.6,69,19
29,RAIL,UKAI,850.0,30,10.2,55,5,*,Less Receipt - SECL
30,RAIL,WANAKBORI,1470.0,30,21.3,18,1,*,** Less Receipt - SECL
31,RAIL,TORR POWER AEC,390.0,30,5.5,1,0,*,** Less Receipt - SECL
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,500.0,15,5.2,97,19
33,RAIL,SANJAY GANDHI,1340.0,20,21.0,82,4,*,Less Receipt - SECL
34,RAIL,SATPURA,1142.5,20,20.0,46,2,*,** Less Receipt
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,50.0,44,1,*,** Less receipt-CCL NCL
MAHARASHTRA
36,RAIL,BHUSAWAL,475.0,25,8.4,16,2,*,** Inadequate linkage
37,RAIL,CHANDRAPUR,2340.0,20,35.3,54,2,*,** Inadequate linkage
38,RAIL,KHAPARKHEDA II,840.0,20,15.3,22,1,*,** Inadequate linkage
39,RAIL,KORADI,1040.0,25,16.8,17,1,*,** Less Receipt -
,SECL MCL
40,RAIL,NASIK,880.0,25,14.5,25,2,*,** Less import
41,RAIL,PARLI,920.0,25,12.8,122,10
42,RAIL,PARAS,305.0,20,5.5,20,4,*,Less Receipt
43,RAIL,DAHANU,500.0,25,9.4,78,8
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 01-DEC-2008 ),Page 2 of2

 REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

TOTAL OF W.R.,22242.5,21,338.3,2122,6,13,10
SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO,1260.0,25,19.4,102,5,*,Less receipt - MCL
45,RAIL,KOTHAGUDEM,1180.0,20,15.3,78,5,*,Linkage < Demand
46,ROAD,RAMAGUNDEM - B,62.5,20,0.8,17,21
47,RAIL,RAYALASEEMA,840.0,25,13.9,93,7
48,PITHEAD,RAMAGUNDEM STPS,2600.0,15,39.4,344,9
49,RAIL,SIMHADRI,1000.0,25,19.4,67,3,*,** Less Receipt
KARNATAKA
50,RAIL,RAICHUR,1470.0,30,29.4,389,13
TAMIL NADU
51,INTER MODAL ENNORE,450.0,30,7.3,12,2,*,** Less Receipt -
,MCL ECL
52,INTER MODAL METTUR,840.0,30,15.3,19,1,*,** Less Receipt
53,INTER MODAL NORTH CHENNAI,630.0,30,12.7,54,4,*,Less Receipt -
,MCL ECL
54,INTER MODAL TUTICORIN,1050.0,30,17.9,21,1,*,** Less Receipt -
,MCL ECL
TOTAL OF S.R.,11382.5,24,190.8,1196,6,7,4
EASTERN
BIHAR
55,RAIL,BARAUNI,320.0,20,1.0,18,19
56,RAIL,MUZAFFARPUR,220.0,20,1.0,2,2,*,** Less Receipt
57,PITHEAD,KAHALGAON,1840.0,15,26.8,0,0,*,** Less Receipt - ECL
JHARKHAND
61,RAIL,PATRATU,840.0,20,3.6,25,7
62,ROAD,TENUGHAT,420.0,20,3.6,17,5,*,Less Receipt - CCL
63,RAIL,BOKARO B,630.0,20,8.1,74,9
64,RAIL,CHANDRAPURA,750.0,20,5.8,17,3,*,** Less Receipt - CCL
ORISSA
58,PITHEAD,IB VALLEY,420.0,15,5.2,111,21
59,PITHEAD,TALCHER,470.0,15,7.6,14,2,*,** Linkage < Demand
60,PITHEAD,TALCHER STPS,3000.0,15,58.1,52,1,*,** Linkage < Demand
WEST BENGAL
65,RAIL,DURGAPUR,340.0,20,8.4,88,10
66,RAIL,MEJIA,1340.0,20,21.3,46,2,*,** Unloading Constraint
67,RAIL,BAKRESWAR,840.0,25,12.6,53,4,*,Less receipt - EMTA
68,RAIL,BANDEL,450.0,20,4.5,12,3,*,** Less receipt - EMTA
69,RAIL,D.P.L.,695.0,20,8.9,129,14
70,RAIL,KOLAGHAT,1260.0,25,17.7,124,7
71,RAIL,SAGARDIGHI TPP,600.0,20,6.5,18,3,*,** Less receipt - EMTA
72,RAIL,SANTALDIH,730.0,20,6.6,57,9
73,RAIL,BUDGE BUDGE,500.0,20,7.3,49,7
74,RAIL,NEWCOSSIPORE,160.0,20,1.3,18,14
75,RAIL,SOUTHERN REPL.,135.0,25,2.4,16,7
76,RAIL,TITAGARH,240.0,20,3.7,33,9
77,PITHEAD,FARAKKA STPS,1600.0,15,31.3,36,1,*,** Less Receipt - ECL
TOTAL OF E.R.,17800.0,18,253.3,1009,4,11,9
ALL INDIA TOTAL,69964.5,22,1079,5193,5,48,35


(*) Critical i.e. stock less than 7 days in,48,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,35,TPSs
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 02-DEC-2008 ),Page 1 of2

,REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P.STATION,247.5,25,3.1,45,15
2,RAIL,RAJGHAT,135.0,25,2.1,27,13
3,RAIL,BADARPUR,705.0,30,13.7,95,7
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,2.4,47,20
5,RAIL,PANIPAT,1360.0,25,22.6,9,0,*,** Less Receipt - CCL
6,RAIL,YAMUNA NAGAR TP,600.0,25,8.6,24,3,*,** Less Receipt - CCL
PUNJAB
7,RAIL,GHTP (LEH.MOH.),920.0,30,15.3,56,4,*,Less Receipt
8,RAIL,GNDTP(BHATINDA),440.0,30,7.9,55,7
9,RAIL,ROPAR,1260.0,30,20.2,43,2,*,** Less Receipt - CCL
RAJASTHAN
10,RAIL,KOTA,1045.0,30,20.3,74,4,*,Less Receipt - SECL
11,RAIL,SURATGARH,1250.0,30,23.2,30,1,*,** Less Receipt - SECL
UTTAR PRADESH
12,PITHEAD,ANPARA,1630.0,15,25.0,115,5,*,Less Receipt - NCL
13,RAIL,HARDUAGANJ B,225.0,25,2.7,12,4,*,Less Receipt - CCL
14,RAIL,OBRA,1362.0,20,14.8,93,6,*,Less receipt-CCL NCL
15,RAIL,PANKI,210.0,30,3.2,3,1,*,** Less Receipt - CCL
16,RAIL,PARICHHA,640.0,30,9.5,3,0,*,** Less Receipt - CCL
17,RAIL,DADRI (NCTPP),840.0,30,13.7,34,3,*,** Less Receipt - CCL
18,PITHEAD,RIHAND STPS,2000.0,15,32.9,55,2,*,** Less Receipt - NCL
19,PITHEAD,SINGRAULI STPS,2000.0,15,31.0,25,1,*,** Linkage < Demand
20,RAIL,TANDA,440.0,25,7.1,23,3,*,** Less Receipt - CCL
21,RAIL,UNCHAHAR,1050.0,25,17.7,20,1,*,** Less receipt-CCL BCCL
TOTAL OF N.R.,18539.5,24,297.0,889,3,16,11
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,9.7,8,1,*,** Less Receipt - SECL
23,PITHEAD,KORBA-II,440.0,15,8.1,97,12
24,PITHEAD,KORBA-WEST,840.0,15,11.5,345,30
25,PITHEAD,KORBA STPS,2100.0,15,31.6,662,21
26,RAIL,SIPAT STPS,1000.0,20,9.7,78,8
GUJARAT
27,RAIL,GANDHI NAGAR,870.0,30,12.9,152,12
28,RAIL,SIKKA REP.,240.0,30,3.6,69,20
29,RAIL,UKAI,850.0,30,10.2,51,5,*,Less Receipt - SECL
30,RAIL,WANAKBORI,1470.0,30,21.3,18,1,*,** Less Receipt - SECL
31,RAIL,TORR POWER AEC,390.0,30,5.5,11,2,*,** Less Receipt - SECL
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,500.0,15,5.2,96,19
33,RAIL,SANJAY GANDHI,1340.0,20,21.0,81,4,*,Less Receipt - SECL
34,RAIL,SATPURA,1142.5,20,20.0,42,2,*,** Less Receipt
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,50.0,41,1,*,** Less receipt-CCL NCL
MAHARASHTRA
36,RAIL,BHUSAWAL,475.0,25,8.4,17,2,*,** Inadequate linkage
37,RAIL,CHANDRAPUR,2340.0,20,35.3,53,2,*,** Inadequate linkage
38,RAIL,KHAPARKHEDA II,840.0,20,15.3,19,1,*,** Inadequate linkage
39,RAIL,KORADI,1040.0,25,16.8,20,1,*,** Less Receipt -
,SECL MCL
40,RAIL,NASIK,880.0,25,14.5,26,2,*,** Less import
41,RAIL,PARLI,920.0,25,12.8,124,10
42,RAIL,PARAS,305.0,20,5.5,18,3,*,** Less Receipt
43,RAIL,DAHANU,500.0,25,9.4,78,8
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 02-DEC-2008 ),Page 2 of2

 REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

TOTAL OF W.R.,22242.5,21,338.3,2107,6,13,11
SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO,1260.0,25,19.4,99,5,*,Linkage < Demand
45,RAIL,KOTHAGUDEM,1180.0,20,15.3,84,5,*,Linkage < Demand
46,ROAD,RAMAGUNDEM - B,62.5,20,0.8,17,21
47,RAIL,RAYALASEEMA,840.0,25,13.9,93,7
48,PITHEAD,RAMAGUNDEM STPS,2600.0,15,39.4,344,9
49,RAIL,SIMHADRI,1000.0,25,19.4,66,3,*,** Less Receipt
KARNATAKA
50,RAIL,RAICHUR,1470.0,30,29.4,384,13
TAMIL NADU
51,INTER MODAL ENNORE,450.0,30,7.3,16,2,*,** Less Receipt -
,MCL ECL
52,INTER MODAL METTUR,840.0,30,15.3,18,1,*,** Less Receipt
53,INTER MODAL NORTH CHENNAI,630.0,30,12.7,50,4,*,Less Receipt -
,MCL ECL
54,INTER MODAL TUTICORIN,1050.0,30,17.9,26,1,*,** Less Receipt -
,MCL ECL
TOTAL OF S.R.,11382.5,24,190.8,1195,6,7,4
EASTERN
BIHAR
55,RAIL,BARAUNI,320.0,20,1.0,18,19
56,RAIL,MUZAFFARPUR,220.0,20,1.0,2,2,*,** Less Receipt
57,PITHEAD,KAHALGAON,1840.0,15,26.8,0,0,*,** Less Receipt - ECL
JHARKHAND
61,RAIL,PATRATU,840.0,20,3.6,25,7
62,ROAD,TENUGHAT,420.0,20,3.6,17,5,*,Less Receipt - CCL
63,RAIL,BOKARO B,630.0,20,8.1,71,9
64,RAIL,CHANDRAPURA,750.0,20,5.8,16,3,*,** Less Receipt - CCL
ORISSA
58,PITHEAD,IB VALLEY,420.0,15,5.2,115,22
59,PITHEAD,TALCHER,470.0,15,7.6,13,2,*,** Linkage < Demand
60,PITHEAD,TALCHER STPS,3000.0,15,58.1,45,1,*,** Linkage < Demand
WEST BENGAL
65,RAIL,DURGAPUR,340.0,20,8.4,89,11
66,RAIL,MEJIA,1340.0,20,21.3,47,2,*,** Unloading Constraint
67,RAIL,BAKRESWAR,840.0,25,12.6,50,4,*,Less receipt - EMTA
68,RAIL,BANDEL,450.0,20,4.5,11,2,*,** Less receipt - EMTA
69,RAIL,D.P.L.,695.0,20,8.9,131,15
70,RAIL,KOLAGHAT,1260.0,25,17.7,132,7
71,RAIL,SAGARDIGHI TPP,600.0,20,6.5,21,3,*,** Less receipt - EMTA
72,RAIL,SANTALDIH,730.0,20,6.6,61,9
73,RAIL,BUDGE BUDGE,500.0,20,7.3,42,6,*,Less Receipt
74,RAIL,NEWCOSSIPORE,160.0,20,1.3,21,16
75,RAIL,SOUTHERN REPL.,135.0,25,2.4,22,9
76,RAIL,TITAGARH,240.0,20,3.7,35,9
77,PITHEAD,FARAKKA STPS,1600.0,15,31.3,46,1,*,** Less Receipt - ECL
TOTAL OF E.R.,17800.0,18,253.3,1026,4,12,9
ALL INDIA TOTAL,69964.5,22,1079,5217,5,48,35


(*) Critical i.e. stock less than 7 days in,48,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,35,TPSs
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 03-DEC-2008 ),Page 1 of2

,REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P.STATION,247.5,25,3.1,45,15
2,RAIL,RAJGHAT,135.0,25,2.1,31,15
3,RAIL,BADARPUR,705.0,30,13.7,98,7
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,2.4,47,19
5,RAIL,PANIPAT,1360.0,25,22.6,14,1,*,** Less Receipt - CCL
6,RAIL,YAMUNA NAGAR TP,600.0,25,8.6,19,2,*,** Less Receipt - CCL
PUNJAB
7,RAIL,GHTP (LEH.MOH.),920.0,30,15.3,64,4,*,Less Receipt
8,RAIL,GNDTP(BHATINDA),440.0,30,7.9,53,7
9,RAIL,ROPAR,1260.0,30,20.2,56,3,*,** Less Receipt - CCL
RAJASTHAN
10,RAIL,KOTA,1045.0,30,20.3,74,4,*,Less Receipt - SECL
11,RAIL,SURATGARH,1250.0,30,23.2,30,1,*,** Less Receipt - SECL
UTTAR PRADESH
12,PITHEAD,ANPARA,1630.0,15,25.0,115,5,*,Less Receipt - NCL
13,RAIL,HARDUAGANJ B,225.0,25,2.7,12,4,*,Less Receipt - CCL
14,RAIL,OBRA,1362.0,20,14.8,93,6,*,Less receipt-CCL NCL
15,RAIL,PANKI,210.0,30,3.2,3,1,*,** Less Receipt - CCL
16,RAIL,PARICHHA,640.0,30,9.5,3,0,*,** Less Receipt - CCL
17,RAIL,DADRI (NCTPP),840.0,30,13.7,35,3,*,** Less Receipt - CCL
18,PITHEAD,RIHAND STPS,2000.0,15,32.9,51,2,*,** Less Receipt - NCL
19,PITHEAD,SINGRAULI STPS,2000.0,15,31.0,27,1,*,** Linkage < Demand
20,RAIL,TANDA,440.0,25,7.1,26,4,*,Less Receipt - CCL
21,RAIL,UNCHAHAR,1050.0,25,17.7,10,1,*,** Less receipt-CCL BCCL
TOTAL OF N.R.,18539.5,24,297.0,906,3,16,10
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,9.7,8,1,*,** Less Receipt - SECL
23,PITHEAD,KORBA-II,440.0,15,8.1,97,12
24,PITHEAD,KORBA-WEST,840.0,15,11.5,340,30
25,PITHEAD,KORBA STPS,2100.0,15,31.6,665,21
26,RAIL,SIPAT STPS,1000.0,20,9.7,74,8
GUJARAT
27,RAIL,GANDHI NAGAR,870.0,30,12.9,145,11
28,RAIL,SIKKA REP.,240.0,30,3.6,72,20
29,RAIL,UKAI,850.0,30,10.2,51,5,*,Less Receipt - SECL
30,RAIL,WANAKBORI,1470.0,30,21.3,15,1,*,** Less Receipt - SECL
31,RAIL,TORR POWER AEC,390.0,30,5.5,10,2,*,** Less Receipt - SECL
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,500.0,15,5.2,97,19
33,RAIL,SANJAY GANDHI,1340.0,20,21.0,78,4,*,Less Receipt - SECL
34,RAIL,SATPURA,1142.5,20,20.0,38,2,*,** Less Receipt
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,50.0,48,1,*,** Less receipt-CCL NCL
MAHARASHTRA
36,RAIL,BHUSAWAL,475.0,25,8.4,18,2,*,** Inadequate linkage
37,RAIL,CHANDRAPUR,2340.0,20,35.3,47,1,*,** Inadequate linkage
38,RAIL,KHAPARKHEDA II,840.0,20,15.3,18,1,*,** Inadequate linkage
39,RAIL,KORADI,1040.0,25,16.8,20,1,*,** Less Receipt -
,SECL MCL
40,RAIL,NASIK,880.0,25,14.5,32,2,*,** Less import
41,RAIL,PARLI,920.0,25,12.8,132,10
42,RAIL,PARAS,305.0,20,5.5,24,4,*,Less Receipt
43,RAIL,DAHANU,500.0,25,9.4,82,9
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 03-DEC-2008 ),Page 2 of2

 REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

TOTAL OF W.R.,22242.5,21,338.3,2109,6,13,10
SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO,1260.0,25,19.4,91,5,*,Linkage < Demand
45,RAIL,KOTHAGUDEM,1180.0,20,15.3,90,6,*,Linkage < Demand
46,ROAD,RAMAGUNDEM - B,62.5,20,0.8,17,21
47,RAIL,RAYALASEEMA,840.0,25,13.9,86,6,*,Less Receipt
48,PITHEAD,RAMAGUNDEM STPS,2600.0,15,39.4,347,9
49,RAIL,SIMHADRI,1000.0,25,19.4,57,3,*,** Less Receipt
KARNATAKA
50,RAIL,RAICHUR,1470.0,30,29.4,380,13
TAMIL NADU
51,INTER MODAL ENNORE,450.0,30,7.3,16,2,*,** Less Receipt -
,MCL ECL
52,INTER MODAL METTUR,840.0,30,15.3,27,2,*,** Less Receipt
53,INTER MODAL NORTH CHENNAI,630.0,30,12.7,42,3,*,** Less Receipt -
,MCL ECL
54,INTER MODAL TUTICORIN,1050.0,30,17.9,19,1,*,** Less Receipt -
,MCL ECL
TOTAL OF S.R.,11382.5,24,190.8,1173,6,8,5
EASTERN
BIHAR
55,RAIL,BARAUNI,320.0,20,1.0,18,19
56,RAIL,MUZAFFARPUR,220.0,20,1.0,1,1,*,** Less Receipt
57,PITHEAD,KAHALGAON,1840.0,15,26.8,0,0,*,** Less Receipt - ECL
JHARKHAND
61,RAIL,PATRATU,840.0,20,3.6,25,7
62,ROAD,TENUGHAT,420.0,20,3.6,17,5,*,Less Receipt - CCL
63,RAIL,BOKARO B,630.0,20,8.1,74,9
64,RAIL,CHANDRAPURA,750.0,20,5.8,16,3,*,** Less Receipt - CCL
ORISSA
58,PITHEAD,IB VALLEY,420.0,15,5.2,118,23
59,PITHEAD,TALCHER,470.0,15,7.6,12,2,*,** Linkage < Demand
60,PITHEAD,TALCHER STPS,3000.0,15,58.1,56,1,*,** Linkage < Demand
WEST BENGAL
65,RAIL,DURGAPUR,340.0,20,8.4,90,11
66,RAIL,MEJIA,1340.0,20,21.3,42,2,*,** Unloading Constraint
67,RAIL,BAKRESWAR,840.0,25,12.6,50,4,*,Less receipt - EMTA
68,RAIL,BANDEL,450.0,20,4.5,10,2,*,** Less receipt - EMTA
69,RAIL,D.P.L.,695.0,20,8.9,133,15
70,RAIL,KOLAGHAT,1260.0,25,17.7,124,7
71,RAIL,SAGARDIGHI TPP,600.0,20,6.5,22,3,*,** Less receipt - EMTA
72,RAIL,SANTALDIH,730.0,20,6.6,61,9
73,RAIL,BUDGE BUDGE,500.0,20,7.3,45,6,*,Less Receipt
74,RAIL,NEWCOSSIPORE,160.0,20,1.3,19,15
75,RAIL,SOUTHERN REPL.,135.0,25,2.4,20,8
76,RAIL,TITAGARH,240.0,20,3.7,40,11
77,PITHEAD,FARAKKA STPS,1600.0,15,31.3,45,1,*,** Less Receipt - ECL
TOTAL OF E.R.,17800.0,18,253.3,1038,4,12,9
ALL INDIA TOTAL,69964.5,22,1079,5226,5,49,34


(*) Critical i.e. stock less than 7 days in,49,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,34,TPSs
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 04-DEC-2008 ),Page 1 of2

,REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P. T.P.S.,247.5,25,3.1,44,14
2,RAIL,RAJGHAT,135.0,25,2.1,33,16
3,RAIL,BADARPUR,705.0,30,13.7,104,8
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,2.4,46,19
5,RAIL,PANIPAT,1360.0,25,22.6,16,1,*,** Less Receipt - CCL
6,RAIL,YAMUNA NAGAR TP,600.0,25,8.6,22,3,*,** Less Receipt - CCL
PUNJAB
7,RAIL,GHTP (LEH.MOH.),920.0,30,15.3,61,4,*,Less Receipt - CCL
8,RAIL,GNDTP(BHATINDA),440.0,30,7.9,54,7
9,RAIL,ROPAR,1260.0,30,20.2,54,3,*,** Less Receipt - CCL
RAJASTHAN
10,RAIL,KOTA,1045.0,30,20.3,74,4,*,Less Receipt - SECL
11,RAIL,SURATGARH,1250.0,30,23.2,30,1,*,** Less Receipt - SECL
UTTAR PRADESH
12,PITHEAD,ANPARA,1630.0,15,25.0,113,5,*,Less Receipt - NCL
13,RAIL,HARDUAGANJ B,225.0,25,2.7,10,4,*,Less Receipt - CCL
14,RAIL,OBRA,1362.0,20,14.8,99,7
15,RAIL,PANKI,210.0,30,3.2,3,1,*,** Less Receipt - CCL
16,RAIL,PARICHHA,640.0,30,9.5,6,1,*,** Less Receipt - CCL
17,RAIL,DADRI (NCTPP),840.0,30,13.7,40,3,*,** Less Receipt - CCL
18,PITHEAD,RIHAND STPS,2000.0,15,32.9,58,2,*,** Less Receipt - NCL
19,PITHEAD,SINGRAULI STPS,2000.0,15,31.0,29,1,*,** Linkage < Demand
20,RAIL,TANDA,440.0,25,7.1,30,4,*,Less Receipt - CCL
21,RAIL,UNCHAHAR,1050.0,25,17.7,14,1,*,** Less receipt-CCL BCCL
TOTAL OF N.R.,18539.5,24,297.0,939,3,15,10
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,9.7,11,1,*,** Less Receipt - SECL
23,PITHEAD,KORBA-II,440.0,15,8.1,97,12
24,PITHEAD,KORBA-WEST,840.0,15,11.5,340,30
25,PITHEAD,KORBA STPS,2100.0,15,31.6,665,21
26,RAIL,SIPAT STPS,1000.0,20,9.7,73,8
GUJARAT
27,RAIL,GANDHI NAGAR,870.0,30,12.9,139,11
28,RAIL,SIKKA REP.,240.0,30,3.6,69,20
29,RAIL,UKAI,850.0,30,10.2,51,5,*,Less Receipt - SECL
30,RAIL,WANAKBORI,1470.0,30,21.3,9,0,*,** Less Receipt - SECL
31,RAIL,TORR POWER AEC,390.0,30,5.5,13,2,*,** Less Receipt - SECL
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,500.0,15,5.2,97,19
33,RAIL,SANJAY GANDHI,1340.0,20,21.0,86,4,*,Less Receipt - SECL
34,RAIL,SATPURA,1142.5,20,20.0,38,2,*,** Less Receipt
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,50.0,55,1,*,** Less receipt-CCL NCL
MAHARASHTRA
36,RAIL,BHUSAWAL,475.0,25,8.4,20,2,*,** Inadequate linkage
37,RAIL,CHANDRAPUR,2340.0,20,35.3,50,1,*,** Inadequate linkage
38,RAIL,KHAPARKHEDA II,840.0,20,15.3,14,1,*,** Inadequate linkage
39,RAIL,KORADI,1040.0,25,16.8,21,1,*,** Less Receipt -
,SECL MCL
40,RAIL,NASIK,880.0,25,14.5,32,2,*,** Less import
