,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 26-Feb-2009),Page 1 of 2
REGION/ MODE OF,NAME OF,CAPACITY,NORMATI,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR CRITICAL
REGION,NAME OF,CAPACITY NORMAT DAILY ACTUAL STOCK CRITICAL,of FOR
,REASONS
,/,TRANSPO,THERMAL,(MW),IVE,LINKAGE,CRITICAL COAL
,IN '000 IN,COAL
 STATE,RT,POWER,STOCK,IN '000,STOCK
,TONNES DAYS
,STATION,Reqd. TONNES
,<7,<4
,(DAYS)
43,RAIL,DAHANU TPS,500,25,10.4,85,8
TOTAL OF W.R.,22242.5,21,379.3,2157,6,16,8
SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO TPS,1260,25,22,66,2,*,** Inadequate linkage
45,RAIL,KOTHAGUDEM TPS,1180,20,21.4,166,8
46,ROAD,RAMAGUNDEM - B,62.5,20,0.9,19,21
47,RAIL,RAYALASEEMA TPS,840,25,16.9,24,1,*,** Inadequate linkage
48,PITHEAD,RAMAGUNDEM STPS,2600,15,42,549,13
49,RAIL,SIMHADRI,1000,25,20.7,271,13
KARNATAKA
50,RAIL,RAICHUR TPS,1470,30,31,467,15
TAMIL NADU
51,INTER,ENNORE TPS,450,30,8.2,45,6,*,Less Receipt -MCL ECL
,MODAL
52,INTER,METTUR TPS,840,30,15.1,124,8
53,INTER,NORTH CHENNAI TPS,630,30,11.2,80,8
54,INTER,TUTICORIN TPS,1050,30,18.7,130,7
TOTAL OF S.R.,11382.5,24,208.1,1941,9,3,2
EASTERN
BIHAR
55,RAIL,BARAUNI TPS,320,20,0.7,5,10
56,RAIL,MUZAFFARPUR TPS,220,20,1.1,2,4,*,Less Receipt
57,PITHEAD,KAHALGAON TPS,1840,15,38.4,7,0,*,** Less Receipt - ECL
JHARKHAND
58,RAIL,PATRATU TPS,840,20,5,27,6,*,Less Receipt
59,ROAD,TENUGHAT TPS,420,20,6.1,0,0,*,** Inadequate linkage
60,RAIL,BOKARO `B` TPS,630,20,9.5,159,17
61,RAIL,CHANDRAPURA TPS,750,20,6.3,128,20
ORISSA
62,PITHEAD IB VALLEY TPS,420,15,9.5,185,19
63,PITHEAD TALCHER (OLD) TPS,470,15,8.9,70,8
64,PITHEAD TALCHER STPS,3000,15,64.3,167,2,*,** Inadequate linkage
WEST BENGAL
65,RAIL,DURGAPUR TPS,340,20,5.7,175,31
66,RAIL,MEJIA TPS,1340,20,24.3,0,0,*,** Unloading Constraint
67,RAIL,BAKRESWAR TPS,840,25,12.5,261,21
68,RAIL,BANDEL TPS,450,20,5.7,2,0,*,** Inadequate linkage
69,RAIL,D.P.L. TPS,695,20,10.7,45,4,*,Less receipt - EMTA
70,RAIL,KOLAGHAT TPS,1260,25,21.3,249,12
71,RAIL,SAGARDIGHI TPS,600,20,7.9,3,0,*,** Unloading Constraint
72,RAIL,SANTALDIH TPS,730,20,8.2,112,14
73,RAIL,BUDGE BUDGE TPS,500,20,7.9,114,14
74,RAIL,NEW COSSIPORE TPS,160,20,1.4,23,15
75,RAIL,SOUTHERN REPL. TPS,135,25,2.5,48,19
76,RAIL,TITAGARH TPS,240,20,3.9,46,12
77,RAIL,FARAKKA STPS,1600,15,37.5,80,2,*,** Less Receipt - ECL
TOTAL OF E.R.,17800,18,299.3,1908,6 10,7
ALL INDIA TOTAL,69964.5,22,1224,8680,7 39,20
(*) Critical i.e. stock less than 7 days in,39,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,20,TPSs
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 25-Feb-2009,Page 1 of2

,REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P. T.P.S.,247.5,25,3.4,45,13
2,RAIL,RAJGHAT TPS,135.0,25,2.3,99,43
3,RAIL,BADARPUR TPS,705.0,30,14.8,62,4,*,Less Receipt - CCL
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,2.1,24,11
5,RAIL,PANIPAT TPS,1360.0,25,26.8,22,1,*,** Less Receipt - CCL
6,RAIL,YAMUNA NAGAR TPS,600.0,25,10.7,49,5,*,Inadequate linkage
PUNJAB
7,RAIL,GH TPS (LEH.MOH.),920.0,30,15.5,45,3,*,** Inadequate linkage
8,RAIL,GND TPS(BHATINDA),440.0,30,7.0,76,11
9,RAIL,ROPAR TPS,1260.0,30,22.1,102,5,*,Inadequate linkage
RAJASTHAN
10,RAIL,KOTA TPS,1045.0,30,21.6,220,10
11,RAIL,SURATGARH TPS,1250.0,30,27.0,145,5,*,Inadequate linkage
UTTAR PRADESH
12,PITHEAD,ANPARA TPS,1630.0,15,28.6,163,6,*,Inadequate linkage
13,RAIL,HARDUAGANJ B,225.0,25,3.2,18,5,*,Inadequate linkage
14,RAIL,OBRA TPS,1362.0,20,16.1,193,12
15,RAIL,PANKI TPS,210.0,30,4.3,16,4,*,Inadequate linkage
16,RAIL,PARICHHA TPS,640.0,30,12.5,32,3,*,** Less receipt-CCL BCCL

17,RAIL,DADRI (NCTPP),840.0,30,16.1,192,12
18,PITHEAD,RIHAND STPS,2000.0,15,38.2,508,13
19,PITHEAD,SINGRAULI STPS,2000.0,15,34.3,373,11
20,RAIL,TANDA TPS,440.0,25,8.9,151,17
21,RAIL,UNCHAHAR TPS,1050.0,25,21.4,142,7
TOTAL OF N.R.,18539.5,24,336.9,2677,8,10,3
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,9.6,100,10
23,PITHEAD,KORBA-II,440.0,15,8.6,71,8
24,PITHEAD,KORBA-WEST TPS,840.0,15,13.2,279,21
25,PITHEAD,KORBA STPS,2100.0,15,34.3,451,13
26,RAIL,SIPAT STPS,1000.0,20,16.8,28,2,*,** Less Receipt - SECL
GUJARAT
27,RAIL,GANDHI NAGAR TPS,870.0,30,13.6,29,2,*,** Less Receipt - SECL
28,RAIL,SIKKA REP. TPS,240.0,30,4.6,22,5,*,Less Receipt - SECL
29,RAIL,UKAI TPS,850.0,30,13.9,86,6,*,Less Receipt - SECL
30,RAIL,WANAKBORI TPS,1470.0,30,25.7,33,1,*,** Inadequate linkage
31,RAIL,TORR POWER AEC,390.0,30,4.6,2,0,*,** Inadequate linkage
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,500.0,15,6.3,96,15
33,RAIL,SANJAY GANDHI TPS,1340.0,20,19.6,92,5,*,Inadequate linkage
34,RAIL,SATPURA TPS,1142.5,20,22.5,54,2,*,** Less Receipt - WCL
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,55.4,359,6,*,Inadequate linkage
MAHARASHTRA
36,RAIL,BHUSAWAL TPS,475.0,25,8.4,42,5,*,Inadequate linkage
37,RAIL,CHANDRAPUR(MAHAR,2340.0,20,38.2,60,2,*,** Inadequate linkage
,ASHTRA) STPS
38,RAIL,KHAPARKHEDA TPS- II,840.0,20,15.9,81,5,*,Less Receipt
39,RAIL,KORADI TPS,1040.0,25,19.8,54,3,*,** Less Receipt -
,SECL MCL
40,RAIL,NASIK TPS,880.0,25,15.5,30,2,*,** Inadequate linkage
41,RAIL,PARLI TPS,920.0,25,16.1,105,6,*,Inadequate linkage
42,RAIL,PARAS TPS,305.0,20,6.3,22,4,*,Less Receipt
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 25-Feb-2009,Page 2 of2

 REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

43,RAIL,DAHANU TPS,500.0,25,10.4,85,8
TOTAL OF W.R.,22242.5,21,379.3,2181,6,16,8
SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO TPS,1260.0,25,22.0,53,2,*,** Inadequate linkage
45,RAIL,KOTHAGUDEM TPS,1180.0,20,21.4,166,8
46,ROAD,RAMAGUNDEM - B TPS,62.5,20,0.9,19,21
47,RAIL,RAYALASEEMA TPS,840.0,25,16.9,17,1,*,** Inadequate linkage
48,PITHEAD,RAMAGUNDEM STPS,2600.0,15,42.0,538,13
49,RAIL,SIMHADRI,1000.0,25,20.7,276,13
KARNATAKA
50,RAIL,RAICHUR TPS,1470.0,30,31.0,468,15
TAMIL NADU
51,INTER MODAL ENNORE TPS,450.0,30,8.2,46,6,*,Less Receipt -
,MCL ECL
52,INTER MODAL METTUR TPS,840.0,30,15.1,123,8
53,INTER MODAL NORTH CHENNAI TPS,630.0,30,11.2,89,8
54,INTER MODAL TUTICORIN TPS,1050.0,30,18.7,134,7
TOTAL OF S.R.,11382.5,24,208.1,1929,9,3,2
EASTERN
BIHAR
55,RAIL,BARAUNI TPS,320.0,20,0.7,7,10
56,RAIL,MUZAFFARPUR TPS,220.0,20,1.1,4,4,*,Less Receipt
57,PITHEAD,KAHALGAON TPS,1840.0,15,38.4,17,0,*,** Less Receipt - ECL
JHARKHAND
58,RAIL,PATRATU TPS,840.0,20,5.0,31,6,*,Less Receipt
59,ROAD,TENUGHAT TPS,420.0,20,6.1,0,0,*,** Inadequate linkage
60,RAIL,BOKARO `B` TPS,630.0,20,9.5,159,17
61,RAIL,CHANDRAPURA(DVC),750.0,20,6.3,126,20
,TPS
ORISSA
62,PITHEAD,IB VALLEY TPS,420.0,15,9.5,180,19
63,PITHEAD,TALCHER (OLD) TPS,470.0,15,8.9,70,8
64,PITHEAD,TALCHER STPS,3000.0,15,64.3,160,2,*,** Inadequate linkage
WEST BENGAL
65,RAIL,DURGAPUR TPS,340.0,20,5.7,176,31
66,RAIL,MEJIA TPS,1340.0,20,24.3,0,0,*,** Unloading Constraint
67,RAIL,BAKRESWAR TPS,840.0,25,12.5,260,21
68,RAIL,BANDEL TPS,450.0,20,5.7,0,0,*,** Inadequate linkage
69,RAIL,D.P.L. TPS,695.0,20,10.7,43,4,*,Less receipt - EMTA
70,RAIL,KOLAGHAT TPS,1260.0,25,21.3,250,12
71,RAIL,SAGARDIGHI TPS,600.0,20,7.9,2,0,*,** Unloading Constraint
72,RAIL,SANTALDIH TPS,730.0,20,8.2,115,14
73,RAIL,BUDGE BUDGE TPS,500.0,20,7.9,113,14
74,RAIL,NEW COSSIPORE TPS,160.0,20,1.4,21,15
75,RAIL,SOUTHERN REPL. TPS,135.0,25,2.5,47,19
76,RAIL,TITAGARH TPS,240.0,20,3.9,46,12
77,RAIL,FARAKKA STPS,1600.0,15,37.5,80,2,*,** Less Receipt - ECL
TOTAL OF E.R.,17800.0,18,299.3,1908,6,10,7
ALL INDIA TOTAL,69964.5,22,1224,8695,7,39,20

(*) Critical i.e. stock less than 7 days in,39,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,20,TPSs
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 24-Feb-2009,Page 1 of2

,REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P. T.P.S.,247.5,25,3.4,41,12
2,RAIL,RAJGHAT TPS,135.0,25,2.3,95,41
3,RAIL,BADARPUR TPS,705.0,30,14.8,63,4,*,Less Receipt - CCL
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,2.1,19,9
5,RAIL,PANIPAT TPS,1360.0,25,26.8,22,1,*,** Less Receipt - CCL
6,RAIL,YAMUNA NAGAR TPS,600.0,25,10.7,46,4,*,Inadequate linkage
PUNJAB
7,RAIL,GH TPS (LEH.MOH.),920.0,30,15.5,43,3,*,** Inadequate linkage
8,RAIL,GND TPS(BHATINDA),440.0,30,7.0,76,11
9,RAIL,ROPAR TPS,1260.0,30,22.1,100,4,*,Inadequate linkage
RAJASTHAN
10,RAIL,KOTA TPS,1045.0,30,21.6,224,10
11,RAIL,SURATGARH TPS,1250.0,30,27.0,138,5,*,Inadequate linkage
UTTAR PRADESH
12,PITHEAD,ANPARA TPS,1630.0,15,28.6,169,6,*,Inadequate linkage
13,RAIL,HARDUAGANJ B,225.0,25,3.2,18,6,*,Inadequate linkage
14,RAIL,OBRA TPS,1362.0,20,16.1,192,12
15,RAIL,PANKI TPS,210.0,30,4.3,13,3,*,** Inadequate linkage
16,RAIL,PARICHHA TPS,640.0,30,12.5,27,2,*,** Less receipt-CCL BCCL

17,RAIL,DADRI (NCTPP),840.0,30,16.1,191,12
18,PITHEAD,RIHAND STPS,2000.0,15,38.2,506,13
19,PITHEAD,SINGRAULI STPS,2000.0,15,34.3,369,11
20,RAIL,TANDA TPS,440.0,25,8.9,144,16
21,RAIL,UNCHAHAR TPS,1050.0,25,21.4,133,6,*,Unloading Constraint
TOTAL OF N.R.,18539.5,24,336.9,2629,8,11,4
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,9.6,101,10
23,PITHEAD,KORBA-II,440.0,15,8.6,73,8
24,PITHEAD,KORBA-WEST TPS,840.0,15,13.2,278,21
25,PITHEAD,KORBA STPS,2100.0,15,34.3,453,13
26,RAIL,SIPAT STPS,1000.0,20,16.8,23,1,*,** Less Receipt - SECL
GUJARAT
27,RAIL,GANDHI NAGAR TPS,870.0,30,13.6,18,1,*,** Less Receipt - SECL
28,RAIL,SIKKA REP. TPS,240.0,30,4.6,22,5,*,Less Receipt - SECL
29,RAIL,UKAI TPS,850.0,30,13.9,86,6,*,Less Receipt - SECL
30,RAIL,WANAKBORI TPS,1470.0,30,25.7,41,2,*,** Inadequate linkage
31,RAIL,TORR POWER AEC,390.0,30,4.6,8,2,*,** Inadequate linkage
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,500.0,15,6.3,95,15
33,RAIL,SANJAY GANDHI TPS,1340.0,20,19.6,94,5,*,Inadequate linkage
34,RAIL,SATPURA TPS,1142.5,20,22.5,46,2,*,** Less Receipt - WCL
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,55.4,354,6,*,Inadequate linkage
MAHARASHTRA
36,RAIL,BHUSAWAL TPS,475.0,25,8.4,44,5,*,Inadequate linkage
37,RAIL,CHANDRAPUR(MAHAR,2340.0,20,38.2,59,2,*,** Inadequate linkage
,ASHTRA) STPS
38,RAIL,KHAPARKHEDA TPS- II,840.0,20,15.9,73,5,*,Less Receipt
39,RAIL,KORADI TPS,1040.0,25,19.8,54,3,*,** Less Receipt -
,SECL MCL
40,RAIL,NASIK TPS,880.0,25,15.5,26,2,*,** Inadequate linkage
41,RAIL,PARLI TPS,920.0,25,16.1,112,7
42,RAIL,PARAS TPS,305.0,20,6.3,23,4,*,Less Receipt
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 24-Feb-2009,Page 2 of2

 REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

43,RAIL,DAHANU TPS,500.0,25,10.4,89,9
TOTAL OF W.R.,22242.5,21,379.3,2174,6,15,8
SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO TPS,1260.0,25,22.0,40,2,*,** Inadequate linkage
45,RAIL,KOTHAGUDEM TPS,1180.0,20,21.4,153,7
46,ROAD,RAMAGUNDEM - B TPS,62.5,20,0.9,18,20
47,RAIL,RAYALASEEMA TPS,840.0,25,16.9,15,1,*,** Inadequate linkage
48,PITHEAD,RAMAGUNDEM STPS,2600.0,15,42.0,534,13
49,RAIL,SIMHADRI,1000.0,25,20.7,281,14
KARNATAKA
50,RAIL,RAICHUR TPS,1470.0,30,31.0,469,15
TAMIL NADU
51,INTER MODAL ENNORE TPS,450.0,30,8.2,45,6,*,Less Receipt -
,MCL ECL
52,INTER MODAL METTUR TPS,840.0,30,15.1,116,8
53,INTER MODAL NORTH CHENNAI TPS,630.0,30,11.2,100,9
54,INTER MODAL TUTICORIN TPS,1050.0,30,18.7,141,8
TOTAL OF S.R.,11382.5,24,208.1,1914,9,3,2
EASTERN
BIHAR
55,RAIL,BARAUNI TPS,320.0,20,0.7,9,12
56,RAIL,MUZAFFARPUR TPS,220.0,20,1.1,0,0,*,** Less Receipt
57,PITHEAD,KAHALGAON TPS,1840.0,15,38.4,27,1,*,** Less Receipt - ECL
JHARKHAND
58,RAIL,PATRATU TPS,840.0,20,5.0,26,5,*,Less Receipt
59,ROAD,TENUGHAT TPS,420.0,20,6.1,1,0,*,** Inadequate linkage
60,RAIL,BOKARO `B` TPS,630.0,20,9.5,154,16
61,RAIL,CHANDRAPURA(DVC),750.0,20,6.3,120,19
,TPS
ORISSA
62,PITHEAD,IB VALLEY TPS,420.0,15,9.5,185,20
63,PITHEAD,TALCHER (OLD) TPS,470.0,15,8.9,71,8
64,PITHEAD,TALCHER STPS,3000.0,15,64.3,153,2,*,** Inadequate linkage
WEST BENGAL
65,RAIL,DURGAPUR TPS,340.0,20,5.7,177,31
66,RAIL,MEJIA TPS,1340.0,20,24.3,0,0,*,** Unloading Constraint
67,RAIL,BAKRESWAR TPS,840.0,25,12.5,258,21
68,RAIL,BANDEL TPS,450.0,20,5.7,0,0,*,** Inadequate linkage
69,RAIL,D.P.L. TPS,695.0,20,10.7,34,3,*,** Less receipt - EMTA
70,RAIL,KOLAGHAT TPS,1260.0,25,21.3,249,12
71,RAIL,SAGARDIGHI TPS,600.0,20,7.9,1,0,*,** Unloading Constraint
72,RAIL,SANTALDIH TPS,730.0,20,8.2,114,14
73,RAIL,BUDGE BUDGE TPS,500.0,20,7.9,112,14
74,RAIL,NEW COSSIPORE TPS,160.0,20,1.4,19,13
75,RAIL,SOUTHERN REPL. TPS,135.0,25,2.5,49,20
76,RAIL,TITAGARH TPS,240.0,20,3.9,50,13
77,RAIL,FARAKKA STPS,1600.0,15,37.5,82,2,*,** Less Receipt - ECL
TOTAL OF E.R.,17800.0,18,299.3,1892,6,10,9
ALL INDIA TOTAL,69964.5,22,1224,8609,7,39,23

(*) Critical i.e. stock less than 7 days in,39,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,23,TPSs
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 23-Feb-2009,Page 1 of2

,REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P. T.P.S.,247.5,25,3.4,36,11
2,RAIL,RAJGHAT TPS,135.0,25,2.3,92,39
3,RAIL,BADARPUR TPS,705.0,30,14.8,54,4,*,Less Receipt - CCL
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,2.1,21,10
5,RAIL,PANIPAT TPS,1360.0,25,26.8,27,1,*,** Less Receipt - CCL
6,RAIL,YAMUNA NAGAR TPS,600.0,25,10.7,41,4,*,Inadequate linkage
PUNJAB
7,RAIL,GH TPS (LEH.MOH.),920.0,30,15.5,45,3,*,** Inadequate linkage
8,RAIL,GND TPS(BHATINDA),440.0,30,7.0,69,10
9,RAIL,ROPAR TPS,1260.0,30,22.1,93,4,*,Inadequate linkage
RAJASTHAN
10,RAIL,KOTA TPS,1045.0,30,21.6,225,10
11,RAIL,SURATGARH TPS,1250.0,30,27.0,133,5,*,Inadequate linkage
UTTAR PRADESH
12,PITHEAD,ANPARA TPS,1630.0,15,28.6,173,6,*,Inadequate linkage
13,RAIL,HARDUAGANJ B,225.0,25,3.2,15,5,*,Inadequate linkage
14,RAIL,OBRA TPS,1362.0,20,16.1,191,12
15,RAIL,PANKI TPS,210.0,30,4.3,10,2,*,** Inadequate linkage
16,RAIL,PARICHHA TPS,640.0,30,12.5,21,2,*,** Less receipt-CCL BCCL

17,RAIL,DADRI (NCTPP),840.0,30,16.1,193,12
18,PITHEAD,RIHAND STPS,2000.0,15,38.2,502,13
19,PITHEAD,SINGRAULI STPS,2000.0,15,34.3,369,11
20,RAIL,TANDA TPS,440.0,25,8.9,145,16
21,RAIL,UNCHAHAR TPS,1050.0,25,21.4,131,6,*,Unloading Constraint
TOTAL OF N.R.,18539.5,24,336.9,2583,8,11,4
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,9.6,98,10
23,PITHEAD,KORBA-II,440.0,15,8.6,74,9
24,PITHEAD,KORBA-WEST TPS,840.0,15,13.2,273,21
25,PITHEAD,KORBA STPS,2100.0,15,34.3,456,13
26,RAIL,SIPAT STPS,1000.0,20,16.8,14,1,*,** Less Receipt - SECL
GUJARAT
27,RAIL,GANDHI NAGAR TPS,870.0,30,13.6,19,1,*,** Less Receipt - SECL
28,RAIL,SIKKA REP. TPS,240.0,30,4.6,26,6,*,Less Receipt - SECL
29,RAIL,UKAI TPS,850.0,30,13.9,94,7
30,RAIL,WANAKBORI TPS,1470.0,30,25.7,41,2,*,** Inadequate linkage
31,RAIL,TORR POWER AEC,390.0,30,4.6,8,2,*,** Inadequate linkage
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,500.0,15,6.3,95,15
33,RAIL,SANJAY GANDHI TPS,1340.0,20,19.6,87,4,*,Inadequate linkage
34,RAIL,SATPURA TPS,1142.5,20,22.5,37,2,*,** Less Receipt - WCL
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,55.4,350,6,*,Inadequate linkage
MAHARASHTRA
36,RAIL,BHUSAWAL TPS,475.0,25,8.4,41,5,*,Inadequate linkage
37,RAIL,CHANDRAPUR(MAHAR,2340.0,20,38.2,58,2,*,** Inadequate linkage
,ASHTRA) STPS
38,RAIL,KHAPARKHEDA TPS- II,840.0,20,15.9,72,5,*,Less Receipt
39,RAIL,KORADI TPS,1040.0,25,19.8,55,3,*,** Less Receipt -
,SECL MCL
40,RAIL,NASIK TPS,880.0,25,15.5,21,1,*,** Inadequate linkage
41,RAIL,PARLI TPS,920.0,25,16.1,116,7
42,RAIL,PARAS TPS,305.0,20,6.3,24,4,*,Less Receipt
