day,MW,Temp,Trend,Random,Seasonal
1/1/11,275.2282917,27.46666667,NA,NA,-61.36502463
1/2/11,256.2615,26.64166667,NA,NA,-68.02703716
1/3/11,297.0072708,28.60833333,NA,NA,-54.11577133
1/4/11,295.3063333,28.08333333,NA,NA,-44.57845277
1/5/11,296.6342917,27.21666667,NA,NA,-41.81654405
1/6/11,296.5450625,26.075,NA,NA,-49.32466546
1/7/11,295.4076875,29.15833333,NA,NA,-51.44468188
1/8/11,272.6595833,32.32083333,NA,NA,-45.92909493
1/9/11,261.4725625,29.47916667,NA,NA,-34.10932635
1/10/11,284.5610833,26.99166667,NA,NA,-29.95403433
1/11/11,288.8688333,29.55833333,NA,NA,-36.72165114
1/12/11,291.9870625,32.44583333,NA,NA,-51.2716479
1/13/11,286.7179167,25.42916667,NA,NA,-49.54183868
1/14/11,281.7386667,28.14583333,NA,NA,-51.27549
1/15/11,263.7389583,30.6875,NA,NA,-46.07569068
1/16/11,236.0966667,33.43333333,NA,NA,-27.03372503
1/17/11,290.5106875,29.95,NA,NA,-22.89114076
1/18/11,291.3593125,27.80833333,NA,NA,-29.17705986
1/19/11,289.7763125,25.76666667,NA,NA,-41.46686167
1/20/11,292.7687708,23.45416667,NA,NA,-56.39591281
1/21/11,281.3167292,23.475,NA,NA,-59.67680778
1/22/11,259.975,23.79583333,NA,NA,-56.92851651
1/23/11,245.7736667,26.19166667,NA,NA,-45.14769111
1/24/11,262.7516042,30.15833333,NA,NA,-48.15217121
1/25/11,274.1015625,25.125,NA,NA,-59.55106733
1/26/11,288.0391667,23.40833333,NA,NA,-58.06809275
1/27/11,290.2871667,27.06666667,NA,NA,-64.86343982
1/28/11,270.9204583,29.54166667,NA,NA,-64.67263678
1/29/11,275.0399792,26.2875,NA,NA,-57.31719174
1/30/11,260.2360833,24.40416667,NA,NA,-41.46548046
1/31/11,292.2253542,27.26666667,NA,NA,-39.11040265
2/1/11,289.3542083,30.28333333,NA,NA,-35.42022912
2/2/11,284.32725,26.95,NA,NA,-40.20610215
2/3/11,278.3920625,25.10833333,NA,NA,-50.36855338
2/4/11,283.162625,28.275,NA,NA,-53.09668257
2/5/11,276.0774375,30.34583333,NA,NA,-51.08126508
2/6/11,254.8615563,26.7125,NA,NA,-37.66175833
2/7/11,283.7055833,24.275,NA,NA,-33.30106116
2/8/11,281.4156667,27.61666667,NA,NA,-33.60397923
2/9/11,280.9015417,30.7,NA,NA,-35.88632401
2/10/11,275.1739792,26.21666667,NA,NA,-49.53384216
2/11/11,276.5588125,23.75,NA,NA,-56.40501283
2/12/11,256.5639167,27.66666667,NA,NA,-48.44080815
2/13/11,253.6960833,31.15,NA,NA,-39.66281623
2/14/11,269.1959583,27.2,NA,NA,-31.81349833
2/15/11,265.25625,25.19166667,NA,NA,-30.09018557
2/16/11,242.6479375,28.48333333,NA,NA,-38.90955367
2/17/11,261.6780208,31.41666667,NA,NA,-58.35365261
2/18/11,278.9730208,27.36666667,NA,NA,-61.77475499
2/19/11,270.7340833,24.75,NA,NA,-56.72464297
2/20/11,259.1519792,28.19166667,NA,NA,-45.99163391
2/21/11,284.524875,31.45833333,NA,NA,-44.6640651
2/22/11,278.5950417,26.625,NA,NA,-45.47731196
2/23/11,296.3933958,23.61666667,NA,NA,-45.75352424
2/24/11,295.9929583,27.725,NA,NA,-52.5006415
2/25/11,301.0249583,31.55,NA,NA,-53.2665271
2/26/11,279.0211667,26.98333333,NA,NA,-46.98670722
2/27/11,267.569375,24.11666667,NA,NA,-36.67338584
2/28/11,289.5358958,28.59166667,NA,NA,-39.80699305
3/1/11,299.7118958,31.8,NA,NA,-36.7338412
3/2/11,300.8191458,26.94166667,NA,NA,-40.52293194
3/3/11,292.617425,24.34166667,NA,NA,-47.31084512
3/4/11,281.9907083,28.325,NA,NA,-47.64439822
3/5/11,277.8186875,31.14166667,NA,NA,-44.89560729
3/6/11,258.8165833,26.89166667,NA,NA,-32.87337581
3/7/11,277.4819167,24.90833333,NA,NA,-32.9894484
3/8/11,282.663875,28.29166667,NA,NA,-29.53027807
3/9/11,282.71075,31.32916667,NA,NA,-32.29731047
3/10/11,280.9182917,27.05416667,NA,NA,-43.43422614
3/11/11,285.9471711,24.675,NA,NA,-40.80695246
3/12/11,269.3649583,28.45,NA,NA,-37.46111803
3/13/11,259.7069348,31.23333333,NA,NA,-20.20155583
3/14/11,297.8977708,27.15,NA,NA,-17.86506554
3/15/11,285.5430625,24.36666667,NA,NA,-12.68940395
3/16/11,282.1965417,27.98333333,NA,NA,-20.07041264
3/17/11,285.477,30.84166667,NA,NA,-22.13105844
3/18/11,278.6969792,26.48333333,NA,NA,-24.73562226
3/19/11,273.754375,24.31666667,NA,NA,-19.19237986
3/20/11,259.83225,28.06666667,NA,NA,-10.71520709
3/21/11,283.3743125,31.175,NA,NA,-10.37582169
3/22/11,289.4532708,26.35,NA,NA,-12.92015155
3/23/11,291.3420625,24.2,NA,NA,-20.56654422
3/24/11,277.4353958,27.95,NA,NA,-37.1265999
3/25/11,279.271125,30.825,NA,NA,-42.70000647
3/26/11,277.3218958,26.5125,NA,NA,-34.24225706
3/27/11,261.8072917,24.24583333,NA,NA,-20.97426556
3/28/11,292.1036042,27.91666667,NA,NA,-21.37565733
3/29/11,296.6795625,30.5,NA,NA,-27.1736282
3/30/11,300.5630625,26.65,NA,NA,-35.63223786
3/31/11,300.0896458,24.36666667,NA,NA,-39.63023212
4/1/11,295.2528125,27.95833333,NA,NA,-43.53912539
4/2/11,277.4359167,31.475,NA,NA,-41.69527192
4/3/11,263.3837083,27.2,NA,NA,-23.25007961
4/4/11,263.63975,24.34166667,NA,NA,-24.47915696
4/5/11,288.0226875,28.40833333,NA,NA,-50.69322992
